"city";"street";"house";"floor"
"Буденновск";"Стасовой, улица";61;5
"Астрахань";"2-я Мичуринская улица";48;4
"Александров";"Весенняя улица";64;3
"Архангельск";"Лермонтова, улица";161;3
"Буйнакск";"Фруктовая улица";132;5
"Балахна";"Пушковых, улица";135;5
"Белогорск";"Спортивная улица";94;4
"Биробиджан";"Сиреневый бульвар";96;3
"Астрахань";"Тихая улица";98;5
"Биробиджан";"Чапаева, улица";136;2
"Армавир";"Мирная улица";167;4
"Астрахань";"Партизанская улица";31;4
"Артем";"Симферопольское шоссе";65;2
"Балаково";"Прудовая улица";130;1
"Белебей";"Молодёжная улица";34;2
"Бор";"Пролетарская улица";143;4
"Анжеро-Судженск";"Летняя улица";91;3
"Балаково";"4-й Кленовый переулок";53;5
"Бугульма";"3-й Кленовый переулок";168;5
"Буденновск";"Берёзовая улица (поселок Марьино)";48;2
"Арсеньев";"2-я Рыбацкая улица";50;3
"Ангарск";"Парковая улица";151;2
"Владивосток";"Полковника милиции Курочкина, улица";91;5
"Белово";"Сиреневый бульвар";13;4
"Арсеньев";"Новостройка, улица";113;3
"Белгород";"Лагерная улица";31;2
"Балашов";"Изумрудная улица";165;5
"Видное";"Академическая улица";90;2
"Арсеньев";"Лагерный переулок";108;5
"Борисоглебск";"Первомайская улица";68;2
"Белебей";"Комсомольский проезд";87;3
"Бердск";"Генерала Максимчука, улица";117;2
"Анжеро-Судженск";"Пушкинская улица";77;1
"Батайск";"Зелёная улица";180;3
"Азов";"Еловая улица";39;5
"Ачинск";"Рождественская улица";12;4
"Боровичи";"Щербинский проезд";192;4
"Алексин";"Тимирязева, улица";147;2
"Брянск";"Советская улица";106;4
"Асбест";"Кленовый переулок";117;5
"Биробиджан";"2-й Богородский переулок";27;5
"Березовский";"Академика Верещагина, площадь";67;3
"Биробиджан";"Новая улица";187;4
"Азов";"4-й Богородский переулок";121;1
"Видное";"Октябрьский проспект";55;5
"Барнаул";"Парковая улица";2;1
"Анжеро-Судженск";"Городская улица";3;5
"Астрахань";"Пионерская улица";145;5
"Барнаул";"Совхозная улица";119;2
"Артем";"Первомайская улица";187;5
"Ачинск";"Садовая улица";136;2
"Батайск";"Авиационная улица";150;4
"Азов";"4-й Богородский переулок";141;5
"Белебей";"Почтовая улица";42;2
"Борисоглебск";"Новостройка, улица";54;5
"Белогорск";"5-я Майская улица";147;2
"Белгород";"Заречная улица";196;2
"Видное";"6-я Вишнёвая улица";19;1
"Биробиджан";"Живописная улица";22;3
"Ангарск";"Нагорная улица";113;2
"Буденновск";"Озёрная улица";34;3
"Березники";"4-я Валуевская улица";25;4
"Александров";"Садовый квартал, улица";170;2
"Бердск";"5-я Майская улица";93;5
"Бугульма";"6-й Кленовый переулок";31;5
"Бийск";"Быковская улица";58;5
"Видное";"Русинская Роща, улица";108;2
"Бийск";"Июльская улица";78;5
"Борисоглебск";"Физическая улица";153;3
"Абакан";"Прудовая улица";92;3
"Арзамас";"2-я Изумрудная улица";133;2
"Боровичи";"Фруктовая улица";144;1
"Балашов";"Кленовый переулок";131;3
"Биробиджан";"Киевское шоссе";155;4
"Балашиха";"Подольская улица";113;4
"Барнаул";"Ново-Западная улица";49;1
"Анапа";"Совхозная улица";106;2
"Буйнакск";"Рыбацкий переулок";191;3
"Буйнакск";"4-й Заречный переулок";108;5
"Борисоглебск";"Дачная улица";119;5
"Белгород";"6-я Вишнёвая улица";82;5
"Абакан";"Филимонковская улица";99;2
"Абакан";"Советская улица";39;2
"Буденновск";"1-я Валуевская улица";31;5
"Артем";"1-я Пионерская улица";42;4
"Видное";"Светлая улица";89;4
"Анжеро-Судженск";"Сиреневый бульвар";136;5
"Асбест";"Садовый квартал, улица";198;3
"Бердск";"Чайковского, улица";26;4
"Братск";"Дальняя улица";194;5
"Анжеро-Судженск";"Речная улица";62;3
"Александров";"2-й Богородский переулок";123;3
"Армавир";"Садовый квартал, улица";131;4
"Асбест";"Фруктовая улица";198;2
"Анжеро-Судженск";"Тимирязева, улица";177;4
"Бузулук";"3-я Валуевская улица";147;2
"Бузулук";"Прибрежная улица";75;3
"Белебей";"Бутовское Кольцо, улица";147;2
"Белебей";"Чехова, улица";40;1
"Белорецк";"Киевское шоссе";75;3
"Белогорск";"Флотская улица";199;4
"Брянск";"2-я Изумрудная улица";106;2
"Асбест";"Сатинская аллея";67;5
"Бор";"Нижняя улица";63;4
"Батайск";"5-я Майская улица";198;1
"Барнаул";"2-я Мичуринская улица";89;3
"Альметьевск";"Тупик, улица";40;5
"Балашиха";"Кирова, улица";193;3
"Астрахань";"1-я Центральная улица";169;5
"Бийск";"1-я Пионерская улица";93;4
"Анжеро-Судженск";"Авиаторов, улица";87;1
"Биробиджан";"Толбухина, улица";18;1
"Бердск";"6-й Кленовый переулок";175;3
"Александров";"Заводская улица";20;4
"Белогорск";"Софийская улица";9;4
"Анжеро-Судженск";"3-й Кленовый переулок";30;3
"Березники";"Рыбацкий переулок";172;2
"Боровичи";"Пушкинская улица";196;2
"Ачинск";"1-я Центральная улица";85;1
"Асбест";"Лагерный переулок";147;2
"Астрахань";"Суворова, улица";196;3
"Белореченск";"Промышленная улица";16;3
"Ачинск";"3-я Барышевская улица";49;4
"Великий Новгород";"Барыши, местечко";159;4
"Абакан";"Берёзовая улица";149;2
"Благовещенск";"Лесная улица";36;3
"Балашиха";"7-я Вишнёвая улица";76;2
"Алексин";"Урожайная улица";10;1
"Батайск";"Южный квартал";170;3
"Архангельск";"Фруктовая улица";173;5
"Балашов";"Прудная улица";114;3
"Буйнакск";"Физическая улица";182;2
"Биробиджан";"Речная улица";119;5
"Брянск";"Фабричная площадь";50;3
"Биробиджан";"Гоголя, улица";188;2
"Анжеро-Судженск";"5-я Майская улица";45;2
"Ачинск";"Чапаева, улица";75;1
"Алексин";"Бутовский тупик";5;1
"Великие Луки";"Прудная улица";148;5
"Владивосток";"Суворова, улица";6;3
"Балахна";"1-я Барышевская улица";45;4
"Буденновск";"Текстильщиков, улица";139;5
"Брянск";"Парковый переулок";198;1
"Белебей";"Нагорная улица";125;4
"Белореченск";"Рассветная улица";156;4
"Апатиты";"Авиационная улица";91;5
"Белогорск";"Олега Кошевого, улица";120;3
"Альметьевск";"Садовый квартал, улица";141;3
"Астрахань";"Берёзовая улица (поселок Марьино)";56;1
"Борисоглебск";"Кленовый переулок";120;5
"Биробиджан";"Сосновая улица";115;3
"Арзамас";"Ягодная улица";21;4
"Балашиха";"Дорожная улица";87;4
"Артем";"Берёзовая улица (поселок Марьино)";180;5
"Благовещенск";"Ломоносова, улица";184;1
"Алексин";"Прудовая улица";47;2
"Батайск";"Ясная улица";33;5
"Альметьевск";"Толбухина, улица";38;4
"Брянск";"8-я Вишнёвая улица";67;4
"Биробиджан";"Берёзовая улица";183;3
"Балашов";"Ясная улица";121;4
"Армавир";"3-я Валуевская улица";26;2
"Борисоглебск";"Овражная улица";193;4
"Белореченск";"2-я Валуевская улица";111;1
"Боровичи";"Майская улица";81;5
"Биробиджан";"Октябрьская улица";198;3
"Армавир";"1-я Рыбацкая улица";23;3
"Альметьевск";"3-я Вишнёвая улица";155;2
"Белореченск";"Осенняя улица";29;1
"Бор";"Генерала Трошева, улица";98;5
"Асбест";"Подольская улица";81;5
"Артем";"Вокзальная улица";25;1
"Бийск";"Полковника милиции Курочкина, улица";159;5
"Альметьевск";"Горка, улица";107;1
"Арсеньев";"Люблинская улица";188;4
"Великие Луки";"Пионерская улица";55;4
"Белорецк";"Дружбы, улица";149;3
"Анапа";"Рабочая улица";46;2
"Березовский";"Котовского, улица";23;4
"Арзамас";"Текстильщиков, улица";20;2
"Армавир";"Генерала Максимчука, улица";192;3
"Балашов";"Сатинская аллея";98;3
"Александров";"1-я Барышевская улица";186;2
"Балаково";"Филимонковская улица";146;4
"Барнаул";"1-я Майская улица";168;5
"Верхняя Пышма";"Софийская улица";19;4
"Балахна";"Ломоносова, улица";11;3
"Белгород";"2-я Изумрудная улица";197;1
"Белорецк";"Парковый переулок";87;2
"Алексин";"Песчаная улица";160;4
"Арсеньев";"Богородская улица";87;1
"Абакан";"Новостройка, улица";74;4
"Бердск";"7-я Вишнёвая улица";92;5
"Азов";"Физическая улица";129;4
"Владивосток";"Михаила Кондакова, улица";39;3
"Видное";"Живописная улица";120;4
"Балашиха";"Андреевская улица";112;3
"Апатиты";"Прибрежная улица";152;1
"Ангарск";"3-я Пионерская улица";189;3
"Бор";"Лагерная улица";164;4
"Братск";"5-я Вишнёвая улица";195;2
"Армавир";"Набережная улица";114;5
"Благовещенск";"Лесная улица (поселок Щапово)";163;4
"Борисоглебск";"Подмосковные вечера, улица";29;3
"Азов";"Индустриальная улица";16;3
"Белогорск";"Берёзовая улица (поселок Марьино)";171;4
"Верхняя Пышма";"Пионерская улица";42;1
"Барнаул";"Стасовой, улица";152;3
"Ачинск";"Котовского, улица";96;4
"Азов";"1-я Центральная улица";103;1
"Белгород";"Красная улица";76;5
"Великие Луки";"1-я Валуевская улица";177;5
"Братск";"Школьная улица";84;3
"Боровичи";"СНТ Волна, улица";12;4
"Белорецк";"6-я Вишнёвая улица";41;1
"Березники";"Московская улица";58;1
"Великие Луки";"Речная улица";150;2
"Брянск";"Громова, улица";90;1
"Бугульма";"Железнодорожная улица";84;5
"Бор";"Комсомольский проезд";195;3
"Арсеньев";"2-я Изумрудная улица";174;2
"Белорецк";"3-я Вишнёвая улица";21;2
"Барнаул";"4-я Вишнёвая улица";99;2
"Белово";"Тихая улица";89;5
"Березники";"Героя России Чернышёва, улица";166;4
"Бор";"Тупик, улица";157;1
"Березники";"Западная улица";107;1
"Бузулук";"Громова, улица";130;3
"Брянск";"Большая Октябрьская улица";144;5
"Верхняя Пышма";"Ясная улица";44;5
"Арзамас";"Ясная улица";120;3
"Биробиджан";"Вокзальная улица";191;2
"Артем";"Пионерский проезд";175;5
"Балашиха";"Маяковского, улица";48;1
"Ачинск";"Прудная улица";177;2
"Апатиты";"Толбухина, улица";84;1
"Белореченск";"Нижняя улица";186;1
"Великий Новгород";"Нагорная улица";186;1
